"school_name","sum_AIAN","sum_Asian","sum_BlackAA","sum_Hispanic","sum_MultiRacial","sum_NHPI","sum_Other","sum_totpop","sum_white_notHL","AIAN_prop","Asian_prop","Black_prop","Hispanic_prop","MultiRacial_prop","NHPI_prop","Other_prop","White_prop","PoC_prop","sum_rentHH","sum_ownHH","rent_prop","own_prop","mean_HHInc","sum_PopPov","sum_pov","pov_rate","school_type"
"Washington",305,19771,10677,8029,6544,359,421,81593,35487,0.00373806576544557,0.242312453274178,0.130856813697253,0.0984030492811883,0.0802029585871337,0.00439988724522937,0.00515975635164781,0.434927015797924,0.565072984202076,22181,14647,0.602286303899207,0.397713696100793,102132.293946785,78033,20855,0.267258723873233,"ms"
"Whitman",255,9197,2070,6617,6849,135,465,90400,64812,0.00282079646017699,0.101736725663717,0.0228982300884956,0.0731969026548673,0.0757632743362832,0.00149336283185841,0.00514380530973451,0.716946902654867,0.283053097345133,19075,23004,0.453314004610376,0.546685995389624,148830.33289823,89874,9291,0.103378062621003,"ms"
"Ballard",165,12687,2339,7776,8470,147,501,117833,85748,0.00140028684663889,0.107669328626106,0.0198501268744749,0.0659917001179636,0.0718813914607962,0.00124752828155101,0.00425178006161262,0.727707857730856,0.272292142269144,26665,29069,0.478433272329278,0.521566727670722,157724.759345854,116003,11084,0.0955492530365594,"hs"
"Chief Sealth Int'l",246,7719,8013,10758,4938,434,348,66928,34472,0.003675591680612,0.115332895051399,0.119725675352618,0.160739899593593,0.0737807793449677,0.00648458044465695,0.00519961749940234,0.515060961032752,0.484939038967248,10289,16830,0.379401895350124,0.620598104649877,116814.500328711,66469,15635,0.235222434518347,"hs"
"Franklin",347,23079,13505,8304,6680,427,539,86227,33346,0.00402426154220836,0.267653983091143,0.156621475871827,0.0963039419207441,0.0774699340113885,0.00495204518306331,0.00625094228026024,0.386723416099366,0.613276583900634,18521,17625,0.512394179162286,0.487605820837714,103870.784093149,85208,21139,0.248087034081307,"hs"
"Garfield",782,42726,13345,14496,14235,527,991,194509,107407,0.00402037951971374,0.219660786904462,0.0686086504994628,0.0745261144728522,0.0731842742495206,0.00270938619806796,0.00509487992843519,0.552195528227486,0.447804471772514,82074,30884,0.726588643566635,0.273411356433365,128132.263216612,190271,38053,0.199993693206006,"hs"
"Ingraham Int'l",293,13769,5119,9793,8825,299,807,119075,80170,0.00246063405416754,0.115633004408986,0.0429897123661558,0.0822422842746168,0.0741129540205753,0.00251102246483309,0.00677724123451606,0.67327314717615,0.32672685282385,25999,29093,0.471919697959776,0.528080302040224,133877.248414865,118194,17940,0.151784354535763,"hs"
"Lincoln",394,28187,4570,11940,11087,197,932,153599,96292,0.00256512086667231,0.18351030931191,0.0297527978697778,0.0777348810864654,0.0721814595147104,0.00128256043333615,0.00606774783689998,0.626905123080228,0.373094876919772,52919,26353,0.667562317085478,0.332437682914522,125726.56757531,143597,23303,0.16228054903654,"hs"
"Nathan Hale",90,12920,4096,6533,5383,176,639,85140,55303,0.00105708245243129,0.151750058726803,0.0481089969462062,0.0767324406859291,0.0632252760159737,0.0020671834625323,0.00750528541226216,0.649553676297862,0.350446323702138,16729,20253,0.452355199826943,0.547644800173057,131635.352501762,84738,13814,0.16302013264415,"hs"
"Rainier Beach",441,18991,11357,6254,3697,114,473,59133,17806,0.00745776469991375,0.321157390966127,0.192058579811611,0.105761588284038,0.0625200818493904,0.0019278575414743,0.0079989176940118,0.301117819153434,0.698882180846566,7967,13252,0.375465384796645,0.624534615203356,103109.680669,58640,15391,0.262465893587995,"hs"
"Roosevelt",571,18777,2574,6853,7885,152,552,109751,72387,0.00520268608030906,0.171087279386976,0.0234530892657015,0.062441344498,0.0718444478865796,0.00138495321227141,0.00502956692877514,0.659556632741387,0.340443367258613,20501,22054,0.481753025496416,0.518246974503584,140548.440460679,99177,19456,0.196174516268893,"hs"
"West Seattle HS",117,5870,5539,5877,5598,76,416,75434,51941,0.00155102473685606,0.0778163692764536,0.073428427499536,0.0779091656282313,0.0742105681788053,0.00100750324787231,0.00551475461993266,0.688562186812313,0.311437813187687,14410,19989,0.418907526381581,0.581092473618419,129875.0559562,74793,11436,0.152902009546348,"hs"
